,gisjoin,lat_tract,long_tract,population,adj_radiuspop_5,urbanindex,FIPS,total_pop
0,G0100010020100,32.47718,-86.49007,1845,44076.0,10.69367,01001,55036
12,G0100030010100,31.11277,-87.78622,3988,425.6363,6.053585,01003,203360
43,G0100050950100,32.04077,-85.24,3071,1569.777,7.358689,01005,26201
52,G0100070010001,33.08372,-87.17618,2643,1180.748,7.073903,01007,22580
56,G0100090050101,33.87502,-86.46404,7532,2570.81,7.851976,01009,57667
65,G0100110952100,32.10967,-85.52205,1488,598.3858,6.394236,01011,10478
68,G0100130952700,31.90332,-86.58842,2089,2883.316,7.966696,01013,20126
77,G0100150000200,33.67378,-85.81657,2488,44007.0,10.6921,01015,115527
106,G0100170953800,33.03864,-85.39955,3655,997.5685,6.905321,01017,33895
115,G0100190955701,34.23372,-85.52945,3474,1037.564,6.944631,01019,25855
121,G0100210060101,32.81425,-86.64089,4381,10124.0,9.222664,01021,43805
130,G0100230956700,32.24274,-88.21344,2972,520.4391,6.254673,01023,13188
134,G0100250957500,31.79801,-87.66103,1281,1021.565,6.929091,01025,24625
143,G0100270958900,33.39418,-85.77293,5101,1008.588,6.916307,01027,13407
147,G0100290959500,33.82446,-85.47007,2886,857.33,6.753823,01029,14939
151,G0100310010100,31.55876,-86.05693,2242,1030.241,6.937548,01031,51073
165,G0100330020100,34.76928,-87.68022,3480,62701.0,11.04613,01033,54435
179,G0100350960200,31.59696,-87.00692,2015,918.9526,6.823235,01035,12649
184,G0100370961000,32.99439,-86.07539,3945,2053.842,7.627467,01037,10955
187,G0100390961600,31.43891,-86.40462,4111,1410.006,7.251349,01039,37519
201,G0100410963400,31.88504,-86.25339,1953,1099.984,7.003051,01041,13866
207,G0100430964100,34.26552,-86.57323,6076,7506.0,8.923458,01043,81703
225,G0100450020000,31.38868,-85.72314,5149,6340.0,8.754634,01045,49393
239,G0100470956100,32.48992,-86.94146,6190,2057.202,7.629102,01047,40755
254,G0100490960100,34.72937,-85.63668,5903,1502.954,7.315188,01049,71194
268,G0100510030100,32.64297,-86.35683,9701,1776.042,7.482142,01051,80989
283,G0100530969800,31.11525,-86.89049,5598,717.5123,6.57579,01053,37621
292,G0100550000200,34.03216,-85.97287,3691,30843.0,10.33667,01055,103132
322,G0100570020000,33.80853,-87.6368,1509,937.5861,6.843308,01057,16657
327,G0100590972900,34.52319,-87.61993,3778,2237.615,7.713166,01059,31507
336,G0100610050100,31.08825,-86.08716,4715,652.4301,6.480704,01061,26572
342,G0100630060000,32.97561,-88.0288,1669,698.2534,6.548582,01063,8533
345,G0100650040000,32.94622,-87.55633,3632,1360.493,7.215602,01065,14995
351,G0100670030100,31.60605,-85.32979,1794,2795.918,7.935916,01067,17110
357,G0100690040100,31.22828,-85.59616,5535,2903.607,7.973709,01069,104108
379,G0100710950100,34.85214,-85.70055,6210,1327.127,7.190772,01071,52326
390,G0100730000100,33.57943,-86.72283,3114,98096.0,11.4937,01073,659460
553,G0100750030000,33.94612,-88.09692,4572,544.7339,6.300298,01075,14021
556,G0100770010100,34.79626,-87.65613,1979,57687.0,10.96279,01077,92590
578,G0100790979100,34.66877,-87.18426,1836,1508.23,7.318692,01079,33288
587,G0100810040200,32.60936,-85.45523,5644,65488.0,11.08962,01081,156597
614,G0100830020101,34.87124,-86.86398,4808,11229.0,9.326255,01083,91695
630,G0100850780800,32.19041,-86.49639,3574,903.0121,6.805736,01085,10362
634,G0100870231400,32.42724,-85.52026,1375,1221.267,7.107644,01087,19358
646,G0100890000201,34.77459,-86.55013,1063,85935.0,11.36135,01089,353213
719,G0100910972900,32.4841,-87.78101,4732,899.0895,6.801383,01091,19743
725,G0100930964000,34.21428,-87.71217,4355,954.9824,6.861693,01093,30058
733,G0100950030100,34.42119,-86.1555,3160,1297.495,7.16819,01095,94738
751,G0100970000200,30.69111,-88.04802,1391,89587.0,11.40297,01097,414328
865,G0100990075600,31.74852,-87.10632,1215,531.0421,6.274841,01099,21745
872,G0101010000100,32.37943,-86.30805,363,105436.0,11.56586,01101,227120
937,G0101030000100,34.59679,-86.96279,4044,46327.0,10.74348,01103,119157
964,G0101050686800,32.68524,-87.13947,1041,696.1012,6.545495,01105,9680
967,G0101070050000,33.3983,-87.89259,4951,1292.274,7.164158,01107,20170
972,G0101090188600,31.84148,-85.79282,1870,1107.41,7.009779,01109,33287
980,G0101110000100,33.42633,-85.52772,3527,784.2185,6.664688,01111,22530
986,G0101130030200,32.47435,-85.00626,2549,114550.0,11.64877,01113,58480
999,G0101150040103,33.63332,-86.5044,9417,23615.0,10.06964,01115,86937
1012,G0101170030102,33.38279,-86.42862,4117,2829.016,7.947684,01117,208721
1059,G0101190011300,32.598,-88.13335,5584,501.8923,6.218386,01119,13084
1063,G0101210010101,33.54416,-85.85423,4941,10341.0,9.243872,01121,80888
1085,G0101230961900,33.03934,-85.74055,2501,724.2478,6.585134,01123,40756
1095,G0101250010101,33.29279,-87.4918,4579,21947.0,9.996386,01125,204424
1142,G0101270020100,33.8082,-87.3195,2954,9305.0,9.138308,01127,64927
1160,G0101290043900,31.62556,-88.34272,2611,872.1628,6.770976,01129,16746
1165,G0101310034700,32.14171,-87.41624,1530,558.244,6.324796,01131,10919
1169,G0101330965501,34.2393,-87.24424,2516,766.1477,6.641375,01133,23968
1176,G0200130000100,55.36356,-161.9937,3338,1.447378,0.3697534,02013,3338
1177,G0200160000100,52.51656,-87.62968,975,0.7424737,-0.2977678,,15778
1178,G0200160000200,53.67216,-166.8678,4809,1.447378,0.3697534,02016,4809
1179,G0200200000101,61.26067,-148.8259,5514,376.531,5.931001,02020,298225
1234,G0200500000100,60.42448,-162.3967,10094,73.22533,4.293541,02050,17957
1237,G0200600000100,58.74221,-156.7009,917,189.9471,5.246746,02060,917
1238,G0200680000100,63.67347,-150.0089,2303,10.61134,2.361923,02068,2303
1239,G0200700000100,59.80903,-158.2077,2740,25.13968,3.224448,02070,4974
1241,G0200900000100,64.84048,-147.7175,1330,40922.0,10.61942,02090,100031
1260,G0201000000100,59.12258,-135.5054,2537,137.1371,4.920981,02100,2537
1261,G0201050000200,59.3987,-135.8885,62,149.7324,5.00885,02105,2146
1263,G0201100000100,58.74953,-134.7816,4695,115.8096,4.751947,02110,32434
1269,G0201220000100,60.34574,-152.9969,478,21.09978,3.049263,02122,57961
1282,G0201300000100,55.59901,-130.9263,3482,83.97527,4.430522,02130,13745
1286,G0201500000100,57.66979,-153.8039,1825,34.51756,3.541468,02150,13773
